"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(infant_voc;mo_smile)","(i_gaze_at;m_gaze_at)",0.19,3,25.175,0.0,0.8918918918918919,0.05405405405405406,37
"(inf_smile;mo_smile)","(i_gaze_at)",0.489,19,248.246,0.01,0.57,0.0,100
"(i_gaze_at;mother-speech)","(inf_smile)",0.146,44,141.586,0.06,0.04,0.0,100
"(mo_smile)","(m_gaze_at)",0.542,143,816.055,0.0,0.33,0.0,100
"(m_gaze_at;mother-speech)","(mo_smile)",0.201,46,200.685,0.0,0.0,0.0,99
"(m_gaze_at_object)","(i_gaze_at_object)",0.257,67,399.653,0.16,0.0,0.14,100
"(i_gaze_at;inf_smile;infant_voc;m_gaze_at)","(mo_smile)",0.16,1,10.875,0.35294117647058826,1.0,0.0,17
"(i_gaze_at;inf_smile)","(m_gaze_at;mo_smile)",0.297,45,173.492,0.0,0.56,0.0,100
"(i_gaze_at)","(inf_smile;mo_smile)",0.145,174,311.897,0.0,0.0,0.0,70
"(i_gaze_at;inf_smile;m_gaze_at)","(mo_smile)",0.393,18,162.916,0.0,0.75,0.0,100
"(inf_smile;m_gaze_at)","(i_gaze_at;mother-speech)",0.229,109,143.03,0.0,0.52,0.01,100
"(i_gaze_at_object)","(m_gaze_at)",0.264,99,233.241,1.0,0.01,1.0,100
"(i_gaze_at)","(m_gaze_at;mother-speech)",0.298,642,639.437,0.0,0.0,0.0,100
"(i_gaze_at;infant_voc;mo_smile)","(m_gaze_at)",0.258,2,25.032,0.02857142857142857,0.8142857142857143,0.014285714285714285,70
"(m_gaze_at)","(mother-speech)",0.394,719,839.544,0.0,0.0,0.0,100
"(inf_smile;mo_smile)","(m_gaze_at_object)",0.132,43,67.016,1.0,0.0,0.98,100
"(mo_smile;mother-speech)","(i_gaze_at;m_gaze_at)",0.226,24,136.662,0.0,0.3559322033898305,0.0,59
"(i_gaze_at;m_gaze_at;mo_smile)","(mother-speech)",0.31,181,219.17,0.0,0.0,0.0,100
"(i_gaze_at;mo_smile)","(mother-speech)",0.339,265,311.998,0.0,0.0,0.0,100
"(i_gaze_at;inf_smile)","(mo_smile;mother-speech)",0.206,107,120.774,0.0,0.010309278350515464,0.0,97
"(m_gaze_away)","(inf_smile)",0.476,1,38.439,0.011627906976744186,1.0,0.011627906976744186,86
"(i_gaze_at)","(mo_smile;mother-speech)",0.177,422,380.935,0.0,0.0,0.0,100
"(i_gaze_at;m_gaze_at)","(inf_smile;mother-speech)",0.131,223,189.941,0.0,0.0,0.0,60
"(inf_smile)","(i_gaze_at;mo_smile)",0.235,55,263.864,0.0,0.93,0.0,100
"(infant_voc;m_gaze_at)","(inf_smile)",0.139,4,32.387,0.058823529411764705,0.9117647058823529,0.029411764705882353,34
"(inf_smile;mo_smile;mother-speech)","(i_gaze_at;m_gaze_at)",0.181,4,46.05,0.0,1.0,0.0,16
"(inf_smile;m_gaze_at_object;mo_smile)","(i_gaze_at)",0.37,3,32.183,0.04081632653061224,0.8367346938775511,0.7040816326530612,98
"(m_gaze_away;mo_smile)","(inf_smile)",0.426,1,20.32,0.09259259259259259,1.0,0.037037037037037035,54
"(inf_smile;infant_voc)","(i_gaze_at)",0.222,2,29.544,0.3333333333333333,0.7368421052631579,0.03508771929824561,57
"(m_gaze_at)","(mo_smile;mother-speech)",0.182,431,387.876,0.0,0.0,0.0,100
"(i_gaze_at;m_gaze_at;mo_smile)","(inf_smile)",0.274,75,193.558,0.02,0.0,0.0,100
"(i_gaze_at)","(m_gaze_at)",0.629,229,1349.45,0.0,0.77,0.0,100
"(mother-speech)","(i_gaze_at;m_gaze_at)",0.194,56,308.106,0.0,0.84,0.0,100
"(i_gaze_at;infant_voc;m_gaze_at;mo_smile)","(inf_smile)",0.15,2,12.652,0.0,0.4,0.0,5
"(m_gaze_at)","(i_gaze_at;mother-speech)",0.286,587,608.963,0.0,0.0,0.0,100
"(inf_smile;mother-speech)","(mo_smile)",0.208,14,106.831,0.03,0.63,0.01,100
"(i_gaze_at;m_gaze_at;mother-speech)","(inf_smile)",0.138,37,98.39,0.0,0.0,0.0,50
"(i_gaze_at;inf_smile;infant_voc;m_gaze_at)","(mother-speech)",0.114,6,7.744,0.6,0.26666666666666666,0.0,15
"(m_gaze_at;mo_smile)","(i_gaze_at)",0.555,38,547.914,0.0,0.44,0.0,100
"(inf_smile;infant_voc)","(m_gaze_at)",0.234,1,31.176,0.14666666666666667,1.0,0.0,75
"(mo_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.177,280,266.934,0.0,0.0,0.0,56
"(m_gaze_at;mo_smile)","(inf_smile;mother-speech)",0.14,147,138.462,0.0,0.0,0.0,56
"(i_gaze_at)","(mother-speech)",0.411,766,881.776,0.0,0.0,0.0,100
"(i_gaze_at;mo_smile)","(m_gaze_at;mother-speech)",0.265,233,244.029,0.0,0.0,0.0,100
"(inf_smile)","(m_gaze_at;mo_smile;mother-speech)",0.126,149,141.97,0.0,0.0,0.0,9
"(i_gaze_away;m_gaze_away;mo_smile)","(inf_smile)",0.607,1,13.555,0.10526315789473684,1.0,0.0,19
"(infant_voc)","(inf_smile)",0.148,11,59.43,0.011904761904761904,0.6428571428571429,0.0,84
"(mo_smile)","(i_gaze_at)",0.528,73,794.538,0.0,0.59,0.0,100
"(i_gaze_at;inf_smile)","(m_gaze_at;mo_smile;mother-speech)",0.156,87,91.358,0.0,0.0,0.0,8
"(i_gaze_at;inf_smile)","(mo_smile)",0.424,29,247.812,0.0,0.97,0.0,100
"(m_gaze_away)","(i_gaze_away;mo_smile)",0.246,1,19.915,0.0,1.0,0.0,20
"(m_gaze_at;mo_smile)","(i_gaze_at;mother-speech)",0.238,215,234.88,0.0,0.0,0.0,100
"(i_gaze_at;m_gaze_at)","(infant_voc)",0.105,206,152.565,0.4,0.0,0.0,15
"(inf_smile)","(i_gaze_away)",0.12,47,134.672,0.44776119402985076,0.0,0.44776119402985076,67
"(i_gaze_at;mo_smile)","(inf_smile)",0.304,92,280.459,0.0,0.0,0.0,100
"(i_gaze_away;inf_smile)","(m_gaze_at)",0.295,16,46.509,0.8,0.02,0.68,100
"(mo_smile)","(m_gaze_at_object)",0.183,156,276.265,1.0,0.01,1.0,100
"(inf_smile;mo_smile)","(i_gaze_away)",0.104,20,53.154,0.8974358974358975,0.0,0.48717948717948717,39
