"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile;m_gaze_at;infant_voc)","(mo_smile;m_gaze_at;infant_voc)",0.0,0.25,0.125,8
"(m_gaze_at;mother-speech;i_gaze_at;inf_smile)","(m_gaze_at;mother-speech;i_gaze_at;inf_smile)",0.0,0.6153846153846154,0.0,13
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.5454545454545454,0.0,11
"(infant_voc)","(infant_voc)",0.0,0.625,0.0,8
"(mo_smile)","(mo_smile)",0.0,0.62,0.0,100
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.14516129032258066,0.0,62
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.0,0.16666666666666666,0.0,6
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.3,0.0,40
"(m_gaze_away;inf_smile)","(m_gaze_away;inf_smile)",0.7142857142857143,0.047619047619047616,0.0,21
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.6486486486486487,0.0,37
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.5098039215686274,0.0,51
"(mother-speech;m_gaze_at_object)","(mother-speech;m_gaze_at_object)",0.11764705882352941,0.0196078431372549,0.6274509803921569,51
"(m_gaze_at)","(m_gaze_at)",0.0,0.05660377358490566,0.0,53
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.0,0.0,11
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,12
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.7111111111111111,0.0,45
"(i_gaze_at)","(i_gaze_at)",0.0,0.84,0.0,100
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.46153846153846156,0.0,26
"(m_gaze_at;mother-speech;i_gaze_at)","(m_gaze_at;mother-speech;i_gaze_at)",0.0,0.023809523809523808,0.0,42
"(mo_smile;m_gaze_at;inf_smile)","(mo_smile;m_gaze_at;inf_smile)",0.0,0.0,0.0,9
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.08571428571428572,0.0,35
"(mo_smile;i_gaze_away;m_gaze_at_object)","(mo_smile;i_gaze_away;m_gaze_at_object)",0.0,0.8947368421052632,0.6842105263157895,19
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.125,0.0,16
"(m_gaze_at;mother-speech;i_gaze_at)","(m_gaze_at;mother-speech;i_gaze_at)",0.0,0.0,0.0,12
"(mother-speech)","(mother-speech)",0.0,0.7631578947368421,0.0,76
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",0.0,0.8666666666666667,0.0,15
"(m_gaze_at;inf_smile;i_gaze_at_object)","(m_gaze_at;inf_smile;i_gaze_at_object)",0.0,1.0,1.0,51
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.0,0.0,21
"(mother-speech)","(mother-speech)",0.98,0.03,0.97,100
"(m_gaze_at;mother-speech;i_gaze_at;infant_voc)","(m_gaze_at;mother-speech;i_gaze_at;infant_voc)",0.0,1.0,0.0,5
"(mo_smile;m_gaze_away)","(mo_smile;m_gaze_away)",0.017543859649122806,1.0,0.0,57
