event_a,event_b,Column3,prob_b_given_a,pair seen x times,Insgesamt: die Dauer,comments
"(inf_smile, m_gaze_at_object)",(i_gaze_at_obje,ct),0.108,22,42949.00,
"(inf_smile, m_gaze_at_object)","(mother-speech,",i_gaze_at_object),0.108,22,42949.00,
"(mother-speech, i_gaze_at, infant_voc)","(m_gaze_at, mo_","smile, inf_smile)",0.107,25,23899.00,
"(i_gaze_at, infant_voc)","(mother-speech,","m_gaze_at, mo_smile, inf_smile)",0.107,25,23899.00,
"(i_gaze_at, infant_voc)","(m_gaze_at, mo_","smile, inf_smile)",0.107,25,23899.00,
"(mother-speech, inf_smile)",(infant_voc),,0.107,185,119515.00,
(inf_smile),(infant_voc),,0.106,185,119515.00,
(inf_smile),"(mother-speech,",infant_voc),0.106,185,119515.00,
(m_gaze_away),"(mother-speech,","mo_smile, i_gaze_at_object)",0.105,3,8533.00,
(m_gaze_away),"(mo_smile, i_ga",ze_at_object),0.105,3,8533.00,
"(mother-speech, infant_voc)","(i_gaze_at, inf",_smile),0.105,39,42095.00,
(infant_voc),"(mother-speech,","i_gaze_at, inf_smile)",0.105,39,42095.00,
(infant_voc),"(i_gaze_at, inf",_smile),0.105,39,42095.00,
"(mother-speech, mo_smile, i_gaze_away, m_gaze_at_object)",(inf_smile),,0.105,2,4633.00,
"(mo_smile, i_gaze_away, m_gaze_at_object)",(inf_smile),,0.105,2,4633.00,
"(mo_smile, i_gaze_away, m_gaze_at_object)","(mother-speech,",inf_smile),0.105,2,4633.00,
"(mother-speech, m_gaze_at, inf_smile)",(i_gaze_away),,0.105,40,65437.00,
"(m_gaze_at, inf_smile)","(mother-speech,",i_gaze_away),0.105,40,65437.00,
"(m_gaze_at, inf_smile)",(i_gaze_away),,0.105,40,65437.00,
(mother-speech),"(m_gaze_at, i_g","aze_at, inf_smile)",0.105,320,414231.00,
"(mother-speech, inf_smile, m_gaze_at_object)",(i_gaze_away),,0.105,18,41537.00,
"(inf_smile, m_gaze_at_object)","(mother-speech,",i_gaze_away),0.104,18,41537.00,
"(inf_smile, m_gaze_at_object)",(i_gaze_away),,0.104,18,41537.00,
"(m_gaze_at, mo_smile, i_gaze_at)",(infant_voc),,0.104,108,73767.00,
"(mother-speech, m_gaze_at, mo_smile, i_gaze_at)",(infant_voc),,0.104,107,73404.00,
"(m_gaze_at, mo_smile, inf_smile)","(mother-speech,",infant_voc),0.104,53,36649.00,
"(m_gaze_at, mo_smile, inf_smile)",(infant_voc),,0.104,53,36649.00,
"(mother-speech, m_gaze_at, mo_smile, inf_smile)",(infant_voc),,0.104,53,36649.00,
"(m_gaze_at, mo_smile, i_gaze_at)","(mother-speech,",infant_voc),0.104,107,73404.00,
"(i_gaze_at, inf_smile, m_gaze_at_object)",(mother-speech),,0.103,1,14904.00,
"(mother-speech, mo_smile)",(i_gaze_away),,0.102,57,154271.00,
"(mother-speech, infant_voc, m_gaze_at_object)",(i_gaze_at),,0.102,9,14803.00,
"(infant_voc, m_gaze_at_object)","(mother-speech,",i_gaze_at),0.102,9,14803.00,
"(infant_voc, m_gaze_at_object)",(i_gaze_at),,0.102,9,14803.00,
(mo_smile),(i_gaze_away),,0.102,57,154271.00,
(mo_smile),"(mother-speech,",i_gaze_away),0.102,57,154271.00,
"(mother-speech, i_gaze_at)",(infant_voc),,0.101,309,216007.00,
(i_gaze_at),(infant_voc),,0.101,311,216811.00,
(mother-speech),(infant_voc),,0.101,558,398926.00,
(i_gaze_at),"(mother-speech,",infant_voc),0.1,309,216007.00,
"(mother-speech, i_gaze_at, inf_smile)","(m_gaze_at, inf",ant_voc),0.1,80,58812.00,
"(i_gaze_at, inf_smile)","(mother-speech,","m_gaze_at, infant_voc)",0.1,80,58812.00,
"(i_gaze_at, inf_smile)","(m_gaze_at, inf",ant_voc),0.1,80,58812.00,
"(mother-speech, mo_smile)","(i_gaze_at, m_g",aze_at_object),0.1,145,150.87,
(m_gaze_at),(infant_voc),,0.1,320,213772.00,
"(mother-speech, m_gaze_at)",(infant_voc),,0.1,318,212968.00,
(mother-speech),"(inf_smile, m_g",aze_at_object),0.1,235,395539.00,
(mo_smile),"(mother-speech,","i_gaze_at, m_gaze_at_object)",0.1,145,150.87,
(mo_smile),"(i_gaze_at, m_g",aze_at_object),0.1,145,150.87,
(m_gaze_at),"(mother-speech,",infant_voc),0.1,318,212968.00,
"(m_gaze_at, mo_smile, inf_smile)","(mother-speech,",i_gaze_away),0.1,21,35137.00,
"(m_gaze_at, mo_smile, inf_smile)",(i_gaze_away),,0.1,21,35137.00,
"(mother-speech, m_gaze_at, mo_smile, inf_smile)",(i_gaze_away),,0.1,21,35137.00,
