"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.02857142857142857,0.0,35
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.35294117647058826,0.0,17
"(mother-speech)","(mother-speech)",0.0,0.7391304347826086,0.0,23
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.0625,0.0,16
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,16
"(m_gaze_at)","(m_gaze_at)",0.1724137931034483,0.0,0.1896551724137931,58
"(mother-speech)","(mother-speech)",0.0,0.56,0.0,75
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.01282051282051282,0.9102564102564102,0.0,78
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",0.0,0.9230769230769231,0.0,13
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",0.0,1.0,0.0,7
"(i_gaze_at)","(i_gaze_at)",0.0,0.15555555555555556,0.0,45
"(m_gaze_at;inf_smile;i_gaze_at_object)","(m_gaze_at;inf_smile;i_gaze_at_object)",0.0,1.0,1.0,49
"(mother-speech)","(mother-speech)",0.0,0.24,0.0,25
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.047619047619047616,0.0,21
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.014492753623188406,0.9855072463768116,0.07246376811594203,69
"(inf_smile)","(inf_smile)",0.0,1.0,0.0,100
"(i_gaze_at_object)","(i_gaze_at_object)",0.97,0.04,0.99,100
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,22
"(m_gaze_at_object)","(m_gaze_at_object)",0.014705882352941176,0.2647058823529412,0.029411764705882353,68
"(mo_smile;m_gaze_away)","(mo_smile;m_gaze_away)",0.0,1.0,0.0,40
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.05405405405405406,0.0,37
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.7619047619047619,0.0,21
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.14285714285714285,0.7142857142857143,0.0,14
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.6949152542372882,0.15254237288135594,59
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.7647058823529411,0.058823529411764705,17
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.2,0.5333333333333333,0.0,15
"(m_gaze_at;i_gaze_at;infant_voc)","(m_gaze_at;i_gaze_at;infant_voc)",0.06666666666666667,0.7777777777777778,0.0,45
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.8,0.0,25
"(mo_smile;m_gaze_away)","(mo_smile;m_gaze_away)",0.0,1.0,0.0,19
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,37
"(mo_smile)","(mo_smile)",0.0,0.87,0.0,100
"(mo_smile;i_gaze_away)","(mo_smile;i_gaze_away)",0.015625,1.0,0.234375,64
"(mo_smile)","(mo_smile)",1.0,0.03,1.0,100
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.3181818181818182,0.4090909090909091,0.045454545454545456,22
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,1.0,0.0,20
"(inf_smile)","(inf_smile)",0.0,0.99,0.0,100
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.42857142857142855,0.0,7
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",0.42857142857142855,1.0,0.0,14
"(m_gaze_at;mother-speech;i_gaze_at)","(m_gaze_at;mother-speech;i_gaze_at)",0.0,0.0,0.0,42
"(mo_smile)","(mo_smile)",0.0,0.0,0.0,68
"(mo_smile)","(mo_smile)",0.0,0.28378378378378377,0.0,74
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.0,0.0,0.0,8
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.11538461538461539,0.0,52
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.2641509433962264,0.16981132075471697,0.0,53
"(mo_smile)","(mo_smile)",0.0,0.56,0.0,100
"(i_gaze_at)","(i_gaze_at)",0.02631578947368421,0.0,0.02631578947368421,76
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.1111111111111111,1.0,0.0,9
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,48
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.029411764705882353,0.0,68
"(mo_smile;m_gaze_at;inf_smile)","(mo_smile;m_gaze_at;inf_smile)",0.0,0.2857142857142857,0.0,7
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,18
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,13
"(mother-speech)","(mother-speech)",0.0,0.5405405405405406,0.0,74
"(mother-speech)","(mother-speech)",0.0,0.73,0.0,100
"(mother-speech)","(mother-speech)",0.0,0.43,0.0,100
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.16,0.0,0.0,25
"(infant_voc)","(infant_voc)",0.04054054054054054,0.918918918918919,0.14864864864864866,74
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.0,0.0,24
"(mo_smile;mother-speech;i_gaze_at)","(mo_smile;mother-speech;i_gaze_at)",0.0,0.4,0.0,10
"(inf_smile)","(inf_smile)",0.0,0.625,0.0,8
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.5666666666666667,0.0,30
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.25806451612903225,0.0,62
"(mother-speech)","(mother-speech)",0.01,0.68,0.0,100
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.4230769230769231,0.0,52
"(mo_smile)","(mo_smile)",0.0,0.26,0.0,50
"(inf_smile;m_gaze_at_object)","(inf_smile;m_gaze_at_object)",0.95,0.025,0.825,40
"(inf_smile)","(inf_smile)",0.0,0.04,0.0,25
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.2,0.0,25
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.047619047619047616,0.9523809523809523,0.2222222222222222,63
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,74
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.5147058823529411,0.0,68
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",1.0,0.03773584905660377,0.9811320754716981,53
"(i_gaze_at)","(i_gaze_at)",0.0,0.0,0.0,62
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.0625,0.0,16
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,74
"(m_gaze_away;i_gaze_away)","(m_gaze_away;i_gaze_away)",0.0,1.0,0.0,9
"(i_gaze_at)","(i_gaze_at)",0.0,0.28,0.0,25
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.05555555555555555,0.0,18
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.2727272727272727,0.0,11
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",1.0,0.0,0.0,6
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.6153846153846154,0.0,78
