"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(inf_smile;mo_smile;i_gaze_away)","(mother-speech;m_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;inf_smile;infant_voc;mo_smile)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,2
"(mo_smile;inf_smile;infant_voc)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,8
"(i_gaze_at_object;infant_voc)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,42
"(mo_smile;inf_smile;mother-speech)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,2
"(mother-speech;m_gaze_away;mo_smile;i_gaze_at)","(inf_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(mo_smile;inf_smile;i_gaze_at)","(mother-speech;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,6
"(i_gaze_at;inf_smile;infant_voc)","(mother-speech;mo_smile;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;mother-speech;m_gaze_at_object)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,3
"(m_gaze_at_object;i_gaze_at;inf_smile;mother-speech)","(mo_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;m_gaze_at_object;infant_voc)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;inf_smile;m_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,18
"(inf_smile;i_gaze_at_object;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,2
"(mother-speech;i_gaze_away;infant_voc;m_gaze_away)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;mo_smile;mother-speech;m_gaze_at_object)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile)","(i_gaze_at;m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,9
"(infant_voc;i_gaze_at_object;mo_smile)","(m_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;m_gaze_at)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,22
"(infant_voc)","(i_gaze_at;inf_smile)",0.18,22,35.898,0.10638297872340426,0.5957446808510638,0.19148936170212766,47
"(i_gaze_at;inf_smile;mo_smile;m_gaze_at)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(mo_smile;inf_smile)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,16
"(m_gaze_at_object;infant_voc;mo_smile;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;inf_smile;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,11
"(mother-speech;infant_voc;i_gaze_at)","(mo_smile;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,8
"(m_gaze_at_object)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,11
"(inf_smile;m_gaze_at;i_gaze_away;infant_voc)","(mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile)","(i_gaze_at;mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;infant_voc;i_gaze_at_object)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,9
"(i_gaze_at;mother-speech;inf_smile;m_gaze_at;infant_voc)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile;m_gaze_away)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,19
"(inf_smile;infant_voc)","(mo_smile;mother-speech;i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;inf_smile;infant_voc)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,2
"(mo_smile;infant_voc)","(m_gaze_at;inf_smile;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;inf_smile;mo_smile;m_gaze_away)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,4
"(i_gaze_at;mother-speech;infant_voc;m_gaze_at_object)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(mo_smile;inf_smile;m_gaze_away)","(infant_voc;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;infant_voc;i_gaze_at_object)","(mother-speech;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,15
"(i_gaze_at_object;infant_voc)","(inf_smile;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,7
"(infant_voc)","(mother-speech)",0.29,55,57.794,0.95,0.99,0.97,100
"(inf_smile;m_gaze_at;mother-speech;i_gaze_at_object)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;mo_smile)","(i_gaze_at_object;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_at_object;i_gaze_at;inf_smile)","(mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,16
"(infant_voc;mother-speech)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,14
"(mo_smile;m_gaze_at)","(mother-speech;inf_smile)",0.207,183,159.132,0.0,0.0,0.0,20
"(i_gaze_away;infant_voc;m_gaze_at)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,4
"(infant_voc;i_gaze_at_object)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,6
"(m_gaze_away;i_gaze_at_object)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(i_gaze_at;m_gaze_at_object;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,11
"(inf_smile;infant_voc;mo_smile;i_gaze_at_object)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,2
"(mother-speech;m_gaze_away)","(mo_smile;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,5
"(mo_smile;mother-speech;i_gaze_away)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,11
"(mother-speech;mo_smile;m_gaze_at;infant_voc;inf_smile)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;infant_voc;i_gaze_at)","(m_gaze_at_object;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(m_gaze_at;i_gaze_away;mo_smile;inf_smile;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_away;mother-speech)","(mo_smile;i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,2
"(mo_smile;m_gaze_at;inf_smile;infant_voc)","(mother-speech;i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,5
"(m_gaze_at_object;i_gaze_at;infant_voc;mo_smile)","(mother-speech;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;m_gaze_at_object)","(mother-speech;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,6
"(infant_voc;i_gaze_at_object;m_gaze_at)","(mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_away;i_gaze_at_object;mother-speech;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_away;m_gaze_away;mo_smile)","(mother-speech;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;mother-speech;infant_voc;mo_smile)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc)","(m_gaze_at;i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,46
"(mother-speech;i_gaze_at_object;mo_smile;inf_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;m_gaze_away)","(mother-speech;i_gaze_at;mo_smile;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;mo_smile;m_gaze_away)","(mother-speech;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,17
"(m_gaze_at_object;infant_voc;inf_smile)","(mother-speech;mo_smile;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;inf_smile;mother-speech)","(m_gaze_at_object;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_at_object;mother-speech;m_gaze_at;inf_smile)","(mo_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_away;mo_smile;infant_voc;m_gaze_at_object)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc)","(m_gaze_at_object;i_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,3
