"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(mo_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.172,153,222.107,0.0,0.0,0.0,16
"(mo_smile;inf_smile;i_gaze_at_object)","(mother-speech;m_gaze_at_object)",0.241,5,4.015,0.0,1.0,1.0,10
"(i_gaze_at;infant_voc;inf_smile)","(m_gaze_at;mother-speech)",0.386,14,12.672,0.0,0.375,0.0,8
"(i_gaze_at)","(mother-speech)",0.452,821,908.774,0.0,0.88,0.0,100
"(infant_voc)","(m_gaze_at;inf_smile)",0.205,24,40.909,0.0,0.7746478873239436,0.014084507042253521,71
"(mother-speech;i_gaze_at;inf_smile)","(mo_smile;m_gaze_at)",0.403,15,47.994,0.0,1.0,0.0,5
"(infant_voc;i_gaze_away)","(m_gaze_at)",0.395,7,5.171,0.5952380952380952,0.023809523809523808,0.8571428571428571,42
"(mo_smile;mother-speech;infant_voc)","(i_gaze_at)",0.653,1,6.828,0.0,1.0,0.0,14
"(inf_smile)","(m_gaze_at;mother-speech;i_gaze_at)",0.183,179,174.366,0.0,0.813953488372093,0.0,43
"(mother-speech)","(i_gaze_at;inf_smile)",0.196,104,161.282,0.0,0.8571428571428571,0.0,49
"(mo_smile;inf_smile)","(i_gaze_away)",0.139,25,55.069,0.3488372093023256,0.0,0.06976744186046512,43
"(mo_smile;mother-speech;i_gaze_at)","(inf_smile)",0.467,38,86.852,0.0,0.0,0.0,9
"(mo_smile;mother-speech;infant_voc)","(m_gaze_at;inf_smile)",0.31,1,3.242,0.0,1.0,0.0,5
"(mo_smile;mother-speech)","(inf_smile)",0.421,45,119.677,0.0,0.9166666666666666,0.0,24
"(mo_smile;m_gaze_at;inf_smile)","(i_gaze_away)",0.142,19,34.888,0.6666666666666666,0.0,0.16666666666666666,6
"(m_gaze_at;inf_smile)","(i_gaze_at)",0.649,31,299.405,0.0,0.9090909090909091,0.15584415584415584,77
"(m_gaze_at)","(inf_smile)",0.304,275,570.513,0.51,0.04,0.6,100
"(mo_smile;m_gaze_at;infant_voc)","(mother-speech;i_gaze_at)",0.301,18,10.375,0.0,0.25,0.125,8
